INFO 2026-04-21 10:17:42,340 autoreload 19928 2996 Watching for file changes with StatReloader
INFO 2026-04-21 10:18:43,518 autoreload 19928 2996 D:\p3\p3\myproject\tcourse\urls.py changed, reloading.
INFO 2026-04-21 10:18:43,978 autoreload 22364 32076 Watching for file changes with StatReloader
WARNING 2026-04-21 10:22:37,172 log 22364 13492 Not Found: /upload/2.png
WARNING 2026-04-21 10:22:37,175 basehttp 22364 13492 "GET /upload/2.png HTTP/1.1" 404 2618
WARNING 2026-04-21 10:22:44,071 log 22364 13492 Not Found: /
WARNING 2026-04-21 10:22:44,073 basehttp 22364 13492 "GET / HTTP/1.1" 404 2564
WARNING 2026-04-21 10:23:05,081 log 22364 13492 Not Found: /tcourse/
WARNING 2026-04-21 10:23:05,083 basehttp 22364 13492 "GET /tcourse/ HTTP/1.1" 404 2986
WARNING 2026-04-21 10:23:12,381 log 22364 13492 Not Found: /tcourse/upload/2.png
WARNING 2026-04-21 10:23:12,383 basehttp 22364 13492 "GET /tcourse/upload/2.png HTTP/1.1" 404 3022
INFO 2026-04-21 10:23:33,138 basehttp 22364 13492 "GET /tcourse/media/1.png HTTP/1.1" 200 368854
INFO 2026-04-21 10:24:24,737 basehttp 22364 13492 "GET /tcourse/media/1.png HTTP/1.1" 304 0
WARNING 2026-04-21 10:24:30,267 log 22364 13492 Not Found: /tcourse/media/upload/1.png
WARNING 2026-04-21 10:24:30,269 basehttp 22364 13492 "GET /tcourse/media/upload/1.png HTTP/1.1" 404 3247
INFO 2026-04-21 10:25:51,915 autoreload 22364 32076 D:\p3\p3\myproject\myproject\settings\dev.py changed, reloading.
INFO 2026-04-21 10:25:52,442 autoreload 9316 27500 Watching for file changes with StatReloader
WARNING 2026-04-21 10:25:54,932 log 9316 23564 Not Found: /tcourse/media/1.png
WARNING 2026-04-21 10:25:54,934 basehttp 9316 23564 "GET /tcourse/media/1.png HTTP/1.1" 404 3020
INFO 2026-04-21 10:26:00,684 basehttp 9316 23564 "GET /tcourse/upload/1.png HTTP/1.1" 200 368854
WARNING 2026-04-21 10:31:10,317 log 9316 29208 Not Found: /course/cate/
WARNING 2026-04-21 10:31:10,317 basehttp 9316 29208 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:31:10,348 log 9316 15408 Not Found: /course/banner/
WARNING 2026-04-21 10:31:10,349 basehttp 9316 15408 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:31:19,196 log 9316 15408 Not Found: /course/nav/
INFO 2026-04-21 10:31:19,197 basehttp 9316 29208 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 10:31:19,205 log 9316 17048 Not Found: /course/cate/
WARNING 2026-04-21 10:31:19,211 basehttp 9316 15408 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 10:31:19,220 log 9316 29208 Not Found: /course/banner/
WARNING 2026-04-21 10:31:19,220 basehttp 9316 17048 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:31:19,223 basehttp 9316 29208 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:32:04,605 log 9316 29208 Not Found: /course/nav/
WARNING 2026-04-21 10:32:04,612 log 9316 17048 Not Found: /course/cate/
INFO 2026-04-21 10:32:04,623 basehttp 9316 15408 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 10:32:04,624 log 9316 13196 Not Found: /course/banner/
WARNING 2026-04-21 10:32:04,626 basehttp 9316 29208 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 10:32:04,627 basehttp 9316 17048 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:32:04,628 basehttp 9316 13196 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:34:25,466 log 9316 14620 Not Found: /course/nav/
WARNING 2026-04-21 10:34:25,467 basehttp 9316 14620 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 10:34:47,073 log 9316 14620 Not Found: /course/cate/
WARNING 2026-04-21 10:34:47,076 log 9316 15536 Not Found: /course/banner/
WARNING 2026-04-21 10:34:47,077 basehttp 9316 14620 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:34:47,077 basehttp 9316 15536 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:34:47,384 log 9316 10152 Not Found: /tcourse/
WARNING 2026-04-21 10:34:47,384 basehttp 9316 10152 "GET /tcourse/ HTTP/1.1" 404 2987
WARNING 2026-04-21 10:35:20,859 log 9316 15536 Not Found: /course/nav/
WARNING 2026-04-21 10:35:20,861 log 9316 14620 Not Found: /course/cate/
WARNING 2026-04-21 10:35:20,862 basehttp 9316 15536 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 10:35:20,862 basehttp 9316 14620 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:35:20,867 log 9316 15536 Not Found: /course/banner/
INFO 2026-04-21 10:35:20,868 basehttp 9316 14620 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 10:35:20,869 basehttp 9316 15536 "GET /course/banner/ HTTP/1.1" 404 2624
INFO 2026-04-21 10:35:20,875 basehttp 9316 17852 "GET /tcourse/upload/1.png HTTP/1.1" 304 0
INFO 2026-04-21 10:35:29,045 basehttp 9316 28496 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 10:35:29,064 log 9316 13672 Not Found: /course/banner/
WARNING 2026-04-21 10:35:29,072 log 9316 14620 Not Found: /course/cate/
WARNING 2026-04-21 10:35:29,077 log 9316 15536 Not Found: /course/nav/
WARNING 2026-04-21 10:35:29,079 basehttp 9316 13672 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:35:29,081 basehttp 9316 14620 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:35:29,082 basehttp 9316 15536 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 10:36:14,920 log 9316 15536 Not Found: /course/cate/
WARNING 2026-04-21 10:36:14,922 log 9316 14620 Not Found: /course/banner/
WARNING 2026-04-21 10:36:14,923 basehttp 9316 15536 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:36:14,923 basehttp 9316 14620 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:36:18,661 log 9316 14620 Not Found: /course/nav/
WARNING 2026-04-21 10:36:18,676 log 9316 13672 Not Found: /course/cate/
WARNING 2026-04-21 10:36:18,682 log 9316 28496 Not Found: /course/banner/
INFO 2026-04-21 10:36:18,683 basehttp 9316 15536 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 10:36:18,685 basehttp 9316 14620 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 10:36:18,690 basehttp 9316 28496 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:36:18,691 basehttp 9316 13672 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:36:42,118 log 9316 14620 Not Found: /course/cate/
WARNING 2026-04-21 10:36:42,124 log 9316 28496 Not Found: /course/nav/
WARNING 2026-04-21 10:36:42,131 log 9316 15536 Not Found: /course/banner/
INFO 2026-04-21 10:36:42,133 basehttp 9316 13672 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 10:36:42,134 basehttp 9316 14620 "GET /course/cate/ HTTP/1.1" 404 2618
WARNING 2026-04-21 10:36:42,136 basehttp 9316 15536 "GET /course/banner/ HTTP/1.1" 404 2624
WARNING 2026-04-21 10:36:42,136 basehttp 9316 28496 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:08:18,864 log 9316 3124 Not Found: /course/nav/
WARNING 2026-04-21 11:08:18,869 basehttp 9316 3124 "GET /course/nav/ HTTP/1.1" 404 2615
WARNING 2026-04-21 11:08:18,882 log 9316 30676 Not Found: /course/banner/
WARNING 2026-04-21 11:08:18,889 log 9316 27948 Not Found: /course/cate/
INFO 2026-04-21 11:08:18,889 basehttp 9316 13860 "POST /login/ HTTP/1.1" 200 32
WARNING 2026-04-21 11:08:18,892 basehttp 9316 30676 "GET /course/banner/ HTTP/1.1" 404 2624
